state,state_po,year,democrat,republican
Alabama,AL,1976,0.6777737021950231,0.48302948140696117
Alabama,AL,1978,0.684381709506305,0.48237006593030224
Alabama,AL,1980,0.7007245608848679,0.547513095681555
Alabama,AL,1982,0.7040277039267694,0.4471122530513266
Alabama,AL,1984,0.7154724031712367,0.49992294702486295
Alabama,AL,1986,0.6660294706431885,0.39117019283435395
Alabama,AL,1988,0.6875233831253088,0.470411029571013
Alabama,AL,1990,0.739267297305695,0.4248238533596091
Alabama,AL,1992,0.5588648242535581,0.4013326377691359
Alabama,AL,1994,0.49699063424031337,0.561945224033642
Alabama,AL,1996,0.4466876331541037,0.5348381179729188
Alabama,AL,1998,0.4951503020565261,0.6186117446314956
Alabama,AL,2000,0.5634832327596709,0.6907220938933533
Alabama,AL,2002,0.557666697824282,0.6300321181177567
Alabama,AL,2004,0.464627510959418,0.6022320903144259
Alabama,AL,2006,0.5155259731458168,0.7301337044307119
Alabama,AL,2008,0.5306833896742471,0.690395283964259
Alabama,AL,2010,0.5033235982080322,0.6685775951254143
Alabama,AL,2012,0.40018257841812305,0.6379834818450272
Alabama,AL,2014,0.4193418727580218,0.7455525560831382
Alabama,AL,2016,0.4335844578860918,0.7376409238605215
Alabama,AL,2018,0.4088734528388844,0.6634363024670709
Alaska,AK,1976,0.28926976177585273,0.7082600162425555
Alaska,AK,1978,0.44429771232093535,0.5540918131527455
Alaska,AK,1980,0.2581976225277781,0.7378765732320945
Alaska,AK,1982,0.2872202955534448,0.7083673875107684
Alaska,AK,1984,0.4168438797308622,0.550201756468075
Alaska,AK,1986,0.41077342090227814,0.5646810186546259
Alaska,AK,1988,0.3725272731984141,0.6249902827084035
Alaska,AK,1990,0.47836386690112553,0.51659039797127
Alaska,AK,1992,0.42815202663142576,0.4677604175379314
Alaska,AK,1994,0.3273722627737226,0.569232616212063
Alaska,AK,1996,0.3642019683354728,0.5940693196405649
Alaska,AK,1998,0.3458665472458576,0.6255082848186296
Alaska,AK,2000,0.165354072443539,0.6955789688512463
Alaska,AK,2002,0.1728268745197058,0.7451311889340213
Alaska,AK,2004,0.22358298110641475,0.7107294763930185
Alaska,AK,2006,0.4000894968995717,0.565718425706919
Alaska,AK,2008,0.44974730107452254,0.5014196568847049
Alaska,AK,2010,0.3051329938860165,0.6895787052509486
Alaska,AK,2012,0.2861485693779244,0.6393838594360326
Alaska,AK,2014,0.4096718035611512,0.5096571471468251
Alaska,AK,2016,0.36021972887559295,0.5032089760478653
Alaska,AK,2018,0.46497097453272185,0.5308187379060553
Arizona,AZ,1976,0.48799180249162555,0.46704672963860183
Arizona,AZ,1978,0.5040001387331352,0.5953051618949755
Arizona,AZ,1980,0.46170627857303453,0.5082533912913137
Arizona,AZ,1982,0.422627779317057,0.5553669352513534
Arizona,AZ,1984,0.4120653816595058,0.7333387678426296
Arizona,AZ,1986,0.3957959310357419,0.6717927662274644
Arizona,AZ,1988,0.36234796844634504,0.6810989530732138
Arizona,AZ,1990,0.43111552035389594,0.6425290294273175
Arizona,AZ,1992,0.41360062105757356,0.5256310545833183
Arizona,AZ,1994,0.3726360733098112,0.5938125631600826
Arizona,AZ,1996,0.3843462990786216,0.59045255026739
Arizona,AZ,1998,0.40530761153495937,0.5714987357611236
Arizona,AZ,2000,0.38061386846572454,0.583162078959865
Arizona,AZ,2002,0.3952905224380442,0.5709326858673811
Arizona,AZ,2004,0.4299076044648009,0.6025242526496905
Arizona,AZ,2006,0.4863739702744281,0.5165227873957741
Arizona,AZ,2008,0.4895430427509656,0.4739995565233284
Arizona,AZ,2010,0.41918505192430566,0.5302904051185264
Arizona,AZ,2012,0.4357367102912276,0.553247877036798
Arizona,AZ,2014,0.4453159011177915,0.5857209516689615
Arizona,AZ,2016,0.48965521157847763,0.4665321546936871
Arizona,AZ,2018,0.5036552811081165,0.5156804282418357
Arkansas,AR,1976,0.775879187847439,0.22410000297273996
Arkansas,AR,1978,0.33379822069760384,0.666206322738603
Arkansas,AR,1980,0.20966294252121176,0.789210338398064
Arkansas,AR,1982,0.5235064630590144,0.47649353694098556
Arkansas,AR,1984,0.7368331296978279,0.4146521818513785
Arkansas,AR,1986,0.5808982265321605,0.40305418053166475
Arkansas,AR,1988,0.5828565109973082,0.4171441774491682
Arkansas,AR,1990,0.5551196789515705,0.4448803210484294
Arkansas,AR,1992,0.5910912628964312,0.40167874479050014
Arkansas,AR,1994,0.4740723711305309,0.5259276288694691
Arkansas,AR,1996,0.4581231944660021,0.528232933866779
Arkansas,AR,1998,0.5051646823255758,0.6089056325051208
Arkansas,AR,2000,0.5616081799720275,0.43799287572341117
Arkansas,AR,2002,0.7191322417881924,0.5307004582437108
Arkansas,AR,2004,0.5388762715784445,0.45225216116475403
Arkansas,AR,2006,0.598378005035314,0.401621994964686
Arkansas,AR,2008,0.8096728429225097,0.7852550301774155
Arkansas,AR,2010,0.4107540771839173,0.5624698853544324
Arkansas,AR,2012,0.3846192676875393,0.6142175647895004
Arkansas,AR,2014,0.39826048080635656,0.6135312983054275
Arkansas,AR,2016,0.36813306707575116,0.7116146052179675
Arkansas,AR,2018,0.3519382704110433,0.625593445616655
California,CA,1976,0.556845608754369,0.4375956776594007
California,CA,1978,0.5201230955019367,0.48318440011891634
California,CA,1980,0.4482369406202687,0.5108435839345723
California,CA,1982,0.5031512190837443,0.4827957140531382
California,CA,1984,0.5073051694930157,0.5014454262740784
California,CA,1986,0.5139692064025552,0.46994385286833573
California,CA,1988,0.5270780834942929,0.46719436892719185
California,CA,1990,0.5174213620033011,0.46561297176019006
California,CA,1992,0.5125732764765748,0.42898488483909214
California,CA,1994,0.475110860488554,0.49575043046219286
California,CA,1996,0.4964039719270799,0.4526698238048557
California,CA,1998,0.561971741216654,0.4617169089590475
California,CA,2000,0.5375844676473784,0.43553074020032695
California,CA,2002,0.5228591407975426,0.4548816705729056
California,CA,2004,0.5559140549466961,0.45004670597208446
California,CA,2006,0.5780219917480431,0.43454088153221115
California,CA,2008,0.619174097718177,0.40187390422732067
California,CA,2010,0.5514757530000148,0.43485201639784676
California,CA,2012,0.579301833709324,0.424399754654496
California,CA,2014,0.5616353149517043,0.45249858224178474
California,CA,2016,0.584901005173646,0.40380524684383834
California,CA,2018,0.6376913226416245,0.3695330165257705
Colorado,CO,1976,0.4453926535937214,0.5258421001597471
Colorado,CO,1978,0.470659765329055,0.512219314832146
Colorado,CO,1980,0.4396151521870503,0.538668683943951
Colorado,CO,1982,0.47367403349943576,0.5123985105726518
Colorado,CO,1984,0.4129653236453454,0.6249408883025365
Colorado,CO,1986,0.44162033749829366,0.5560835820426474
Colorado,CO,1988,0.4906752030261404,0.5071119013646063
Colorado,CO,1990,0.5032998665660499,0.4870848929779759
Colorado,CO,1992,0.4674653818358325,0.5122102420956065
Colorado,CO,1994,0.39742929750128153,0.6509155468649341
Colorado,CO,1996,0.4082637524473926,0.5698980803408591
Colorado,CO,1998,0.4185515194847698,0.5618024265607868
Colorado,CO,2000,0.4703778896931158,0.5965033173592662
Colorado,CO,2002,0.4219225990059323,0.512378113931943
Colorado,CO,2004,0.48812046624564553,0.4864294503560795
Colorado,CO,2006,0.5412208412989488,0.39395954631547103
Colorado,CO,2008,0.5515796599245308,0.4338453643546894
Colorado,CO,2010,0.45424330970897575,0.5013929598809405
Colorado,CO,2012,0.5039773578250298,0.4667625387269801
Colorado,CO,2014,0.46808562752277527,0.49996725859461894
Colorado,CO,2016,0.4678215824312829,0.4770118729358216
Colorado,CO,2018,0.5343888673610907,0.42958115745643805
Connecticut,CT,1976,0.5055574012660256,0.4829540398317503
Connecticut,CT,1978,0.5801996237099922,0.41475542618614114
Connecticut,CT,1980,0.5191395151745947,0.47801335827275815
Connecticut,CT,1982,0.5392656855382569,0.4534739268674505
Connecticut,CT,1984,0.4661548515382381,0.5317694486025157
Connecticut,CT,1986,0.5562550081406209,0.44298962389820906
Connecticut,CT,1988,0.4925817351802538,0.5048574902469771
Connecticut,CT,1990,0.471800341790659,0.5263335043572522
Connecticut,CT,1992,0.34970731547566375,0.48716069185172695
Connecticut,CT,1994,0.38917680773910907,0.47247062432716314
Connecticut,CT,1996,0.5209679101623613,0.4226757369614512
Connecticut,CT,1998,0.5192025212214681,0.4631591961092054
Connecticut,CT,2000,0.532350455656305,0.44970955241379834
