personal_income,state_po,year,percent_delta_prev
12447.0,AK,1976,0.110843373493976
15507.0,AK,1980,0.12819206984357945
19701.0,AK,1984,0.011448814046616684
20420.0,AK,1988,0.037180008126777686
24240.0,AK,1992,0.031050616758826033
26953.0,AK,1996,0.020985643395583065
31974.0,AK,2000,0.06965074267362503
36916.0,AK,2004,0.029993582768337967
47749.0,AK,2008,0.08864366977497085
53624.0,AK,2012,0.02367135003054366
56020.0,AK,2016,-0.02719410967943603
5438.0,AL,1976,0.10573403822692162
7957.0,AL,1980,0.09374570446735397
10848.0,AL,1984,0.09509388249545725
13807.0,AL,1988,0.0733053482587065
17583.0,AL,1992,0.06100651701665449
20630.0,AL,1996,0.03710034184596833
24338.0,AL,2000,0.042223364165810295
28415.0,AL,2004,0.06451129509609266
33353.0,AL,2008,0.023160930118412137
35884.0,AL,2012,0.02540362908987004
39234.0,AL,2016,0.015109961190168164
5247.0,AR,1976,0.10023065632208006
7597.0,AR,1980,0.07150916784203099
10543.0,AR,1984,0.10827288972984328
13022.0,AR,1988,0.07274075294505322
16438.0,AR,1992,0.07444931041244529
19458.0,AR,1996,0.04601655735942378
22762.0,AR,2000,0.04121494899592881
26924.0,AR,2004,0.05485033693778396
31940.0,AR,2008,0.028001287415513332
36239.0,AR,2012,0.07025989367985819
40155.0,AR,2016,0.020509301616346454
6309.0,AZ,1976,0.0830901287553647
9671.0,AZ,1980,0.11007805325987152
13060.0,AZ,1984,0.09371074449376104
16044.0,AZ,1988,0.050000000000000044
18309.0,AZ,1992,0.03259827420901251
21737.0,AZ,1996,0.04741483159061333
26235.0,AZ,2000,0.057308668842945165
30012.0,AZ,2004,0.06572919995738791
35563.0,AZ,2008,-0.006314789460448722
36132.0,AZ,2012,0.033139850742000876
40697.0,AZ,2016,0.02513917227134188
7975.0,CA,1976,0.08948087431693996
11945.0,CA,1980,0.11033649377207655
15895.0,CA,1984,0.09004251817309017
19605.0,CA,1988,0.06076182231360239
22678.0,CA,1992,0.03756233700873857
25912.0,CA,1996,0.05209306102562028
33364.0,CA,2000,0.08890339425587457
37369.0,CA,2004,0.055174361146406836
43890.0,CA,2008,0.0059822595062917205
