DATE,ARPCPI
1929-01-01,303
1930-01-01,224
1931-01-01,207
1932-01-01,152
1933-01-01,153
1934-01-01,182
1935-01-01,204
1936-01-01,243
1937-01-01,253
1938-01-01,228
1939-01-01,246
1940-01-01,257
1941-01-01,344
1942-01-01,491
1943-01-01,572
1944-01-01,698
1945-01-01,753
1946-01-01,760
1947-01-01,740
1948-01-01,881
1949-01-01,818
1950-01-01,849.0
1951-01-01,970.0
1952-01-01,1043.0
1953-01-01,1084.0
1954-01-01,1100.0
1955-01-01,1202.0
1956-01-01,1262.0
1957-01-01,1280.0
1958-01-01,1339.0
1959-01-01,1436.0
1960-01-01,1424.0
1961-01-01,1535.0
1962-01-01,1600.0
1963-01-01,1676.0
1964-01-01,1799.0
1965-01-01,1902.0
1966-01-01,2109.0
1967-01-01,2238.0
1968-01-01,2419.0
1969-01-01,2681.0
1970-01-01,2915.0
1971-01-01,3176.0
1972-01-01,3504.0
1973-01-01,4069.0
1974-01-01,4453.0
1975-01-01,4769.0
1976-01-01,5247.0
1977-01-01,5736.0
1978-01-01,6546.0
1979-01-01,7090.0
1980-01-01,7597.0
1981-01-01,8592.0
1982-01-01,9024.0
1983-01-01,9513.0
1984-01-01,10543.0
1985-01-01,11165.0
1986-01-01,11708.0
1987-01-01,12139.0
1988-01-01,13022.0
1989-01-01,13946.0
1990-01-01,14622.0
1991-01-01,15299.0
1992-01-01,16438.0
1993-01-01,16956.0
1994-01-01,17758.0
1995-01-01,18602.0
1996-01-01,19458.0
1997-01-01,20187.0
1998-01-01,21222.0
1999-01-01,21861.0
2000-01-01,22762.0
2001-01-01,23840.0
2002-01-01,24266.0
2003-01-01,25524.0
2004-01-01,26924.0
2005-01-01,28047.0
2006-01-01,29438.0
2007-01-01,31070.0
2008-01-01,31940.0
2009-01-01,31153.0
2010-01-01,31927.0
2011-01-01,33860.0
2012-01-01,36239.0
2013-01-01,36237.0
2014-01-01,38264.0
2015-01-01,39348.0
2016-01-01,40155.0
2017-01-01,41543.0
2018-01-01,43292.0
2019-01-01,44845.0
