DATE,AZPCPI
1929-01-01,598
1930-01-01,518
1931-01-01,430
1932-01-01,322
1933-01-01,309
1934-01-01,362
1935-01-01,416
1936-01-01,462
1937-01-01,506
1938-01-01,479
1939-01-01,491
1940-01-01,506
1941-01-01,649
1942-01-01,953
1943-01-01,1045
1944-01-01,1076
1945-01-01,1150
1946-01-01,1131
1947-01-01,1199
1948-01-01,1354
1949-01-01,1343
1950-01-01,1408.0
1951-01-01,1677.0
1952-01-01,1779.0
1953-01-01,1778.0
1954-01-01,1766.0
1955-01-01,1833.0
1956-01-01,1937.0
1957-01-01,1984.0
1958-01-01,1988.0
1959-01-01,2076.0
1960-01-01,2162.0
1961-01-01,2210.0
1962-01-01,2277.0
1963-01-01,2315.0
1964-01-01,2427.0
1965-01-01,2528.0
1966-01-01,2701.0
1967-01-01,2879.0
1968-01-01,3233.0
1969-01-01,3643.0
1970-01-01,4020.0
1971-01-01,4354.0
1972-01-01,4711.0
1973-01-01,5145.0
1974-01-01,5546.0
1975-01-01,5825.0
1976-01-01,6309.0
1977-01-01,6858.0
1978-01-01,7768.0
1979-01-01,8712.0
1980-01-01,9671.0
1981-01-01,10764.0
1982-01-01,11141.0
1983-01-01,11941.0
1984-01-01,13060.0
1985-01-01,14000.0
1986-01-01,14733.0
1987-01-01,15280.0
1988-01-01,16044.0
1989-01-01,16803.0
1990-01-01,17323.0
1991-01-01,17731.0
1992-01-01,18309.0
1993-01-01,18950.0
1994-01-01,19869.0
1995-01-01,20753.0
1996-01-01,21737.0
1997-01-01,22804.0
1998-01-01,24176.0
1999-01-01,24813.0
2000-01-01,26235.0
2001-01-01,26803.0
2002-01-01,27149.0
2003-01-01,28161.0
2004-01-01,30012.0
2005-01-01,32220.0
2006-01-01,34686.0
2007-01-01,35789.0
2008-01-01,35563.0
2009-01-01,33418.0
2010-01-01,33638.0
2011-01-01,34973.0
2012-01-01,36132.0
2013-01-01,36615.0
2014-01-01,38246.0
2015-01-01,39699.0
2016-01-01,40697.0
2017-01-01,42534.0
2018-01-01,44414.0
2019-01-01,46233.0
