DATE,CAPCPI
1929-01-01,994
1930-01-01,889
1931-01-01,753
1932-01-01,584
1933-01-01,550
1934-01-01,605
1935-01-01,665
1936-01-01,776
1937-01-01,801
1938-01-01,779
1939-01-01,790
1940-01-01,856
1941-01-01,1034
1942-01-01,1324
1943-01-01,1589
1944-01-01,1616
1945-01-01,1620
1946-01-01,1706
1947-01-01,1724
1948-01-01,1816
1949-01-01,1800
1950-01-01,1947.0
1951-01-01,2166.0
1952-01-01,2303.0
1953-01-01,2345.0
1954-01-01,2323.0
1955-01-01,2478.0
1956-01-01,2597.0
1957-01-01,2683.0
1958-01-01,2705.0
1959-01-01,2847.0
1960-01-01,2931.0
1961-01-01,2986.0
1962-01-01,3110.0
1963-01-01,3211.0
1964-01-01,3383.0
1965-01-01,3531.0
1966-01-01,3784.0
1967-01-01,4001.0
1968-01-01,4334.0
1969-01-01,4676.0
1970-01-01,4965.0
1971-01-01,5209.0
1972-01-01,5652.0
1973-01-01,6123.0
1974-01-01,6731.0
1975-01-01,7320.0
1976-01-01,7975.0
1977-01-01,8681.0
1978-01-01,9661.0
1979-01-01,10758.0
1980-01-01,11945.0
1981-01-01,13158.0
1982-01-01,13793.0
1983-01-01,14582.0
1984-01-01,15895.0
1985-01-01,16795.0
1986-01-01,17588.0
1987-01-01,18482.0
1988-01-01,19605.0
1989-01-01,20561.0
1990-01-01,21485.0
1991-01-01,21857.0
1992-01-01,22678.0
1993-01-01,23013.0
1994-01-01,23581.0
1995-01-01,24629.0
1996-01-01,25912.0
1997-01-01,27171.0
1998-01-01,29100.0
1999-01-01,30640.0
2000-01-01,33364.0
2001-01-01,34043.0
2002-01-01,34214.0
2003-01-01,35415.0
2004-01-01,37369.0
2005-01-01,39279.0
2006-01-01,42088.0
2007-01-01,43629.0
2008-01-01,43890.0
2009-01-01,42044.0
2010-01-01,43636.0
2011-01-01,46175.0
2012-01-01,48813.0
2013-01-01,49303.0
2014-01-01,52363.0
2015-01-01,55808.0
2016-01-01,57801.0
2017-01-01,60219.0
2018-01-01,63711.0
2019-01-01,66661.0
