DATE,COPCPI
1929-01-01,631
1930-01-01,574
1931-01-01,472
1932-01-01,357
1933-01-01,353
1934-01-01,372
1935-01-01,445
1936-01-01,542
1937-01-01,534
1938-01-01,508
1939-01-01,519
1940-01-01,548
1941-01-01,655
1942-01-01,917
1943-01-01,1067
1944-01-01,1087
1945-01-01,1213
1946-01-01,1231
1947-01-01,1372
1948-01-01,1489
1949-01-01,1478
1950-01-01,1584.0
1951-01-01,1881.0
1952-01-01,1973.0
1953-01-01,1905.0
1954-01-01,1881.0
1955-01-01,1979.0
1956-01-01,2078.0
1957-01-01,2223.0
1958-01-01,2272.0
1959-01-01,2379.0
1960-01-01,2461.0
1961-01-01,2540.0
1962-01-01,2602.0
1963-01-01,2673.0
1964-01-01,2779.0
1965-01-01,2942.0
1966-01-01,3127.0
1967-01-01,3294.0
1968-01-01,3539.0
1969-01-01,3896.0
1970-01-01,4290.0
1971-01-01,4671.0
1972-01-01,5064.0
1973-01-01,5579.0
1974-01-01,6142.0
1975-01-01,6670.0
1976-01-01,7211.0
1977-01-01,7854.0
1978-01-01,8824.0
1979-01-01,9820.0
1980-01-01,11019.0
1981-01-01,12386.0
1982-01-01,13230.0
1983-01-01,13944.0
1984-01-01,15030.0
1985-01-01,15733.0
1986-01-01,16200.0
1987-01-01,16685.0
1988-01-01,17643.0
1989-01-01,18930.0
1990-01-01,19853.0
1991-01-01,20549.0
1992-01-01,21625.0
1993-01-01,22639.0
1994-01-01,23625.0
1995-01-01,24995.0
1996-01-01,26336.0
1997-01-01,27675.0
1998-01-01,29903.0
1999-01-01,31477.0
2000-01-01,34187.0
2001-01-01,35023.0
2002-01-01,34608.0
2003-01-01,34935.0
2004-01-01,35870.0
2005-01-01,37841.0
2006-01-01,40140.0
2007-01-01,42024.0
2008-01-01,42689.0
2009-01-01,39982.0
2010-01-01,40689.0
2011-01-01,43575.0
2012-01-01,45669.0
2013-01-01,47311.0
2014-01-01,50711.0
2015-01-01,52147.0
2016-01-01,52278.0
2017-01-01,55374.0
2018-01-01,58500.0
2019-01-01,61348.0
