DATE,CTPCPI
1929-01-01,1029
1930-01-01,927
1931-01-01,807
1932-01-01,627
1933-01-01,591
1934-01-01,661
1935-01-01,715
1936-01-01,815
1937-01-01,870
1938-01-01,779
1939-01-01,847
1940-01-01,931
1941-01-01,1159
1942-01-01,1440
1943-01-01,1621
1944-01-01,1622
1945-01-01,1592
1946-01-01,1600
1947-01-01,1721
1948-01-01,1742
1949-01-01,1682
1950-01-01,1918.0
1951-01-01,2191.0
1952-01-01,2336.0
1953-01-01,2431.0
1954-01-01,2389.0
1955-01-01,2516.0
1956-01-01,2730.0
1957-01-01,2859.0
1958-01-01,2673.0
1959-01-01,2769.0
1960-01-01,2860.0
1961-01-01,2978.0
1962-01-01,3108.0
1963-01-01,3187.0
1964-01-01,3336.0
1965-01-01,3514.0
1966-01-01,3797.0
1967-01-01,4118.0
1968-01-01,4328.0
1969-01-01,4898.0
1970-01-01,5158.0
1971-01-01,5394.0
1972-01-01,5800.0
1973-01-01,6319.0
1974-01-01,6879.0
1975-01-01,7367.0
1976-01-01,7951.0
1977-01-01,8752.0
1978-01-01,9720.0
1979-01-01,10908.0
1980-01-01,12365.0
1981-01-01,13821.0
1982-01-01,14878.0
1983-01-01,15798.0
1984-01-01,17572.0
1985-01-01,18743.0
1986-01-01,20024.0
1987-01-01,21693.0
1988-01-01,23738.0
1989-01-01,25659.0
1990-01-01,26394.0
1991-01-01,26588.0
1992-01-01,28560.0
1993-01-01,29417.0
1994-01-01,30188.0
1995-01-01,31780.0
1996-01-01,33191.0
1997-01-01,35228.0
1998-01-01,37835.0
1999-01-01,39693.0
2000-01-01,43102.0
2001-01-01,45223.0
2002-01-01,44914.0
2003-01-01,45254.0
2004-01-01,47557.0
2005-01-01,50035.0
2006-01-01,53945.0
2007-01-01,57861.0
2008-01-01,61165.0
2009-01-01,59973.0
2010-01-01,62090.0
2011-01-01,63799.0
2012-01-01,64914.0
2013-01-01,63555.0
2014-01-01,66490.0
2015-01-01,68295.0
2016-01-01,69752.0
2017-01-01,72224.0
2018-01-01,76481.0
2019-01-01,79087.0
