DATE,DCPCPI
1929-01-01,1324
1930-01-01,1314
1931-01-01,1253
1932-01-01,1107
1933-01-01,945
1934-01-01,963
1935-01-01,1031
1936-01-01,1143
1937-01-01,1211
1938-01-01,1142
1939-01-01,1164
1940-01-01,1221
1941-01-01,1271
1942-01-01,1474
1943-01-01,1630
1944-01-01,1670
1945-01-01,1754
1946-01-01,1826
1947-01-01,1878
1948-01-01,2120
1949-01-01,2286
1950-01-01,2427.0
1951-01-01,2547.0
1952-01-01,2693.0
1953-01-01,2599.0
1954-01-01,2621.0
1955-01-01,2623.0
1956-01-01,2840.0
1957-01-01,2939.0
1958-01-01,3027.0
1959-01-01,3106.0
1960-01-01,3125.0
1961-01-01,3236.0
1962-01-01,3438.0
1963-01-01,3605.0
1964-01-01,3827.0
1965-01-01,4129.0
1966-01-01,4344.0
1967-01-01,4655.0
1968-01-01,4968.0
1969-01-01,4939.0
1970-01-01,5528.0
1971-01-01,6191.0
1972-01-01,6781.0
1973-01-01,7246.0
1974-01-01,8004.0
1975-01-01,8834.0
1976-01-01,9548.0
1977-01-01,10469.0
1978-01-01,11349.0
1979-01-01,12207.0
1980-01-01,13235.0
1981-01-01,14279.0
1982-01-01,15286.0
1983-01-01,16117.0
1984-01-01,17566.0
1985-01-01,18567.0
1986-01-01,19426.0
1987-01-01,20534.0
1988-01-01,22698.0
1989-01-01,24276.0
1990-01-01,26132.0
1991-01-01,27521.0
1992-01-01,29067.0
1993-01-01,30349.0
1994-01-01,31370.0
1995-01-01,32077.0
1996-01-01,33872.0
1997-01-01,35739.0
1998-01-01,38097.0
1999-01-01,39563.0
2000-01-01,43344.0
2001-01-01,44695.0
2002-01-01,45136.0
2003-01-01,46047.0
2004-01-01,50201.0
2005-01-01,53186.0
2006-01-01,56075.0
2007-01-01,60028.0
2008-01-01,61117.0
2009-01-01,60448.0
2010-01-01,63582.0
2011-01-01,67419.0
2012-01-01,68397.0
2013-01-01,67923.0
2014-01-01,71354.0
2015-01-01,75423.0
2016-01-01,77561.0
2017-01-01,79058.0
2018-01-01,82111.0
2019-01-01,84538.0
