DATE,GAPCPI
1929-01-01,343
1930-01-01,303
1931-01-01,254
1932-01-01,197
1933-01-01,202
1934-01-01,241
1935-01-01,267
1936-01-01,300
1937-01-01,312
1938-01-01,288
1939-01-01,308
1940-01-01,338
1941-01-01,432
1942-01-01,592
1943-01-01,749
1944-01-01,852
1945-01-01,899
1946-01-01,859
1947-01-01,896
1948-01-01,997
1949-01-01,983
1950-01-01,1087.0
1951-01-01,1240.0
1952-01-01,1322.0
1953-01-01,1369.0
1954-01-01,1351.0
1955-01-01,1475.0
1956-01-01,1552.0
1957-01-01,1580.0
1958-01-01,1631.0
1959-01-01,1709.0
1960-01-01,1749.0
1961-01-01,1799.0
1962-01-01,1901.0
1963-01-01,2024.0
1964-01-01,2148.0
1965-01-01,2331.0
1966-01-01,2545.0
1967-01-01,2750.0
1968-01-01,2986.0
1969-01-01,3292.0
1970-01-01,3542.0
1971-01-01,3823.0
1972-01-01,4203.0
1973-01-01,4656.0
1974-01-01,5019.0
1975-01-01,5354.0
1976-01-01,5881.0
1977-01-01,6396.0
1978-01-01,7154.0
1979-01-01,7850.0
1980-01-01,8602.0
1981-01-01,9600.0
1982-01-01,10242.0
1983-01-01,11064.0
1984-01-01,12316.0
1985-01-01,13196.0
1986-01-01,14109.0
1987-01-01,14888.0
1988-01-01,15959.0
1989-01-01,16942.0
1990-01-01,17835.0
1991-01-01,18322.0
1992-01-01,19360.0
1993-01-01,20087.0
1994-01-01,21090.0
1995-01-01,22235.0
1996-01-01,23475.0
1997-01-01,24404.0
1998-01-01,26159.0
1999-01-01,27275.0
2000-01-01,28861.0
2001-01-01,29751.0
2002-01-01,30111.0
2003-01-01,30803.0
2004-01-01,31960.0
2005-01-01,33331.0
2006-01-01,34687.0
2007-01-01,35523.0
2008-01-01,35175.0
2009-01-01,34042.0
2010-01-01,34521.0
2011-01-01,36577.0
2012-01-01,37254.0
2013-01-01,37552.0
2014-01-01,39802.0
2015-01-01,41692.0
2016-01-01,42705.0
2017-01-01,44548.0
2018-01-01,46519.0
2019-01-01,48199.0
