DATE,INPCPI
1929-01-01,605
1930-01-01,512
1931-01-01,435
1932-01-01,308
1933-01-01,294
1934-01-01,357
1935-01-01,419
1936-01-01,481
1937-01-01,546
1938-01-01,472
1939-01-01,518
1940-01-01,552
1941-01-01,726
1942-01-01,919
1943-01-01,1150
1944-01-01,1209
1945-01-01,1265
1946-01-01,1211
1947-01-01,1316
1948-01-01,1448
1949-01-01,1357
1950-01-01,1525.0
1951-01-01,1719.0
1952-01-01,1786.0
1953-01-01,1952.0
1954-01-01,1810.0
1955-01-01,1908.0
1956-01-01,2011.0
1957-01-01,2046.0
1958-01-01,2023.0
1959-01-01,2141.0
1960-01-01,2223.0
1961-01-01,2264.0
1962-01-01,2421.0
1963-01-01,2509.0
1964-01-01,2639.0
1965-01-01,2877.0
1966-01-01,3058.0
1967-01-01,3170.0
1968-01-01,3419.0
1969-01-01,3741.0
1970-01-01,3849.0
1971-01-01,4151.0
1972-01-01,4503.0
1973-01-01,5136.0
1974-01-01,5472.0
1975-01-01,5907.0
1976-01-01,6540.0
1977-01-01,7197.0
1978-01-01,7968.0
1979-01-01,8732.0
1980-01-01,9365.0
1981-01-01,10292.0
1982-01-01,10686.0
1983-01-01,11243.0
1984-01-01,12460.0
1985-01-01,13154.0
1986-01-01,13868.0
1987-01-01,14664.0
1988-01-01,15646.0
1989-01-01,16942.0
1990-01-01,17768.0
1991-01-01,18121.0
1992-01-01,19411.0
1993-01-01,20232.0
1994-01-01,21297.0
1995-01-01,22047.0
1996-01-01,23089.0
1997-01-01,24096.0
1998-01-01,25813.0
1999-01-01,26693.0
2000-01-01,28233.0
2001-01-01,28697.0
2002-01-01,28983.0
2003-01-01,29476.0
2004-01-01,30691.0
2005-01-01,31487.0
2006-01-01,33071.0
2007-01-01,33986.0
2008-01-01,35228.0
2009-01-01,34102.0
2010-01-01,35454.0
2011-01-01,37650.0
2012-01-01,39333.0
2013-01-01,39646.0
2014-01-01,41098.0
2015-01-01,42626.0
2016-01-01,43734.0
2017-01-01,45239.0
2018-01-01,47124.0
2019-01-01,48657.0
