DATE,MDPCPI
1929-01-01,775
1930-01-01,721
1931-01-01,646
1932-01-01,522
1933-01-01,475
1934-01-01,532
1935-01-01,558
1936-01-01,627
1937-01-01,674
1938-01-01,644
1939-01-01,673
1940-01-01,723
1941-01-01,896
1942-01-01,1157
1943-01-01,1325
1944-01-01,1359
1945-01-01,1349
1946-01-01,1352
1947-01-01,1385
1948-01-01,1548
1949-01-01,1541
1950-01-01,1702.0
1951-01-01,1895.0
1952-01-01,2039.0
1953-01-01,2115.0
1954-01-01,2032.0
1955-01-01,2141.0
1956-01-01,2281.0
1957-01-01,2377.0
1958-01-01,2337.0
1959-01-01,2402.0
1960-01-01,2486.0
1961-01-01,2593.0
1962-01-01,2727.0
1963-01-01,2815.0
1964-01-01,2974.0
1965-01-01,3144.0
1966-01-01,3377.0
1967-01-01,3615.0
1968-01-01,3932.0
1969-01-01,4456.0
1970-01-01,4867.0
1971-01-01,5252.0
1972-01-01,5679.0
1973-01-01,6221.0
1974-01-01,6751.0
1975-01-01,7265.0
1976-01-01,7887.0
1977-01-01,8505.0
1978-01-01,9407.0
1979-01-01,10311.0
1980-01-01,11473.0
1981-01-01,12680.0
1982-01-01,13685.0
1983-01-01,14557.0
1984-01-01,15959.0
1985-01-01,17109.0
1986-01-01,18174.0
1987-01-01,19276.0
1988-01-01,20769.0
1989-01-01,22127.0
1990-01-01,23104.0
1991-01-01,23605.0
1992-01-01,24503.0
1993-01-01,25239.0
1994-01-01,26161.0
1995-01-01,27070.0
1996-01-01,28119.0
1997-01-01,29432.0
1998-01-01,31486.0
1999-01-01,33124.0
2000-01-01,35681.0
2001-01-01,37157.0
2002-01-01,38170.0
2003-01-01,39524.0
2004-01-01,41862.0
2005-01-01,43841.0
2006-01-01,45932.0
2007-01-01,47586.0
2008-01-01,49428.0
2009-01-01,48755.0
2010-01-01,50007.0
2011-01-01,52433.0
2012-01-01,53547.0
2013-01-01,53057.0
2014-01-01,54695.0
2015-01-01,57150.0
2016-01-01,59042.0
2017-01-01,60522.0
2018-01-01,63426.0
2019-01-01,65683.0
