DATE,MIPCPI
1929-01-01,792
1930-01-01,658
1931-01-01,540
1932-01-01,395
1933-01-01,348
1934-01-01,454
1935-01-01,532
1936-01-01,621
1937-01-01,687
1938-01-01,574
1939-01-01,628
1940-01-01,683
1941-01-01,834
1942-01-01,1058
1943-01-01,1372
1944-01-01,1403
1945-01-01,1342
1946-01-01,1338
1947-01-01,1474
1948-01-01,1561
1949-01-01,1523
1950-01-01,1717.0
1951-01-01,1896.0
1952-01-01,1984.0
1953-01-01,2198.0
1954-01-01,2069.0
1955-01-01,2229.0
1956-01-01,2270.0
1957-01-01,2304.0
1958-01-01,2233.0
1959-01-01,2334.0
1960-01-01,2411.0
1961-01-01,2402.0
1962-01-01,2561.0
1963-01-01,2692.0
1964-01-01,2904.0
1965-01-01,3156.0
1966-01-01,3379.0
1967-01-01,3475.0
1968-01-01,3813.0
1969-01-01,4107.0
1970-01-01,4200.0
1971-01-01,4530.0
1972-01-01,5001.0
1973-01-01,5554.0
1974-01-01,5918.0
1975-01-01,6340.0
1976-01-01,7070.0
1977-01-01,7913.0
1978-01-01,8778.0
1979-01-01,9566.0
1980-01-01,10230.0
1981-01-01,10995.0
1982-01-01,11499.0
1983-01-01,12332.0
1984-01-01,13612.0
1985-01-01,14720.0
1986-01-01,15562.0
1987-01-01,16061.0
1988-01-01,17089.0
1989-01-01,18332.0
1990-01-01,19051.0
1991-01-01,19298.0
1992-01-01,20280.0
1993-01-01,21219.0
1994-01-01,22687.0
1995-01-01,23801.0
1996-01-01,24821.0
1997-01-01,25990.0
1998-01-01,27432.0
1999-01-01,28695.0
2000-01-01,30409.0
2001-01-01,30796.0
2002-01-01,30671.0
2003-01-01,31327.0
2004-01-01,32165.0
2005-01-01,32877.0
2006-01-01,33729.0
2007-01-01,34792.0
2008-01-01,35700.0
2009-01-01,34030.0
2010-01-01,35391.0
2011-01-01,37509.0
2012-01-01,39059.0
2013-01-01,39362.0
2014-01-01,41150.0
2015-01-01,43536.0
2016-01-01,44874.0
2017-01-01,46273.0
2018-01-01,48480.0
2019-01-01,50320.0
