DATE,MNPCPI
1929-01-01,594
1930-01-01,547
1931-01-01,457
1932-01-01,361
1933-01-01,310
1934-01-01,359
1935-01-01,449
1936-01-01,474
1937-01-01,538
1938-01-01,493
1939-01-01,517
1940-01-01,524
1941-01-01,616
1942-01-01,799
1943-01-01,955
1944-01-01,1012
1945-01-01,1119
1946-01-01,1193
1947-01-01,1271
1948-01-01,1451
1949-01-01,1335
1950-01-01,1447.0
1951-01-01,1595.0
1952-01-01,1650.0
1953-01-01,1731.0
1954-01-01,1748.0
1955-01-01,1818.0
1956-01-01,1864.0
1957-01-01,1958.0
1958-01-01,2044.0
1959-01-01,2090.0
1960-01-01,2182.0
1961-01-01,2263.0
1962-01-01,2356.0
1963-01-01,2486.0
1964-01-01,2566.0
1965-01-01,2808.0
1966-01-01,3023.0
1967-01-01,3211.0
1968-01-01,3493.0
1969-01-01,3829.0
1970-01-01,4117.0
1971-01-01,4353.0
1972-01-01,4714.0
1973-01-01,5500.0
1974-01-01,5903.0
1975-01-01,6340.0
1976-01-01,6801.0
1977-01-01,7612.0
1978-01-01,8487.0
1979-01-01,9360.0
1980-01-01,10282.0
1981-01-01,11321.0
1982-01-01,12070.0
1983-01-01,12696.0
1984-01-01,14351.0
1985-01-01,15143.0
1986-01-01,15937.0
1987-01-01,16878.0
1988-01-01,17556.0
1989-01-01,18992.0
1990-01-01,19935.0
1991-01-01,20322.0
1992-01-01,21581.0
1993-01-01,21947.0
1994-01-01,23242.0
1995-01-01,24320.0
1996-01-01,25932.0
1997-01-01,27087.0
1998-01-01,29187.0
1999-01-01,30318.0
2000-01-01,32447.0
2001-01-01,33454.0
2002-01-01,33932.0
2003-01-01,35263.0
2004-01-01,37205.0
2005-01-01,38111.0
2006-01-01,39754.0
2007-01-01,41720.0
2008-01-01,43104.0
2009-01-01,41015.0
2010-01-01,42606.0
2011-01-01,45349.0
2012-01-01,47859.0
2013-01-01,47943.0
2014-01-01,50258.0
2015-01-01,52320.0
2016-01-01,53215.0
2017-01-01,54938.0
2018-01-01,57566.0
2019-01-01,59683.0
