DATE,MSPCPI
1929-01-01,277
1930-01-01,197
1931-01-01,169
1932-01-01,122
1933-01-01,127
1934-01-01,167
1935-01-01,174
1936-01-01,222
1937-01-01,220
1938-01-01,196
1939-01-01,201
1940-01-01,212
1941-01-01,316
1942-01-01,457
1943-01-01,553
1944-01-01,642
1945-01-01,640
1946-01-01,618
1947-01-01,669
1948-01-01,797
1949-01-01,711
1950-01-01,780.0
1951-01-01,866.0
1952-01-01,921.0
1953-01-01,955.0
1954-01-01,946.0
1955-01-01,1069.0
1956-01-01,1077.0
1957-01-01,1088.0
1958-01-01,1180.0
1959-01-01,1275.0
1960-01-01,1267.0
1961-01-01,1359.0
1962-01-01,1397.0
1963-01-01,1534.0
1964-01-01,1590.0
1965-01-01,1722.0
1966-01-01,1879.0
1967-01-01,2048.0
1968-01-01,2250.0
1969-01-01,2496.0
1970-01-01,2736.0
1971-01-01,2974.0
1972-01-01,3327.0
1973-01-01,3736.0
1974-01-01,4056.0
1975-01-01,4360.0
1976-01-01,4887.0
1977-01-01,5375.0
1978-01-01,5917.0
1979-01-01,6633.0
1980-01-01,7166.0
1981-01-01,8008.0
1982-01-01,8395.0
1983-01-01,8744.0
1984-01-01,9514.0
1985-01-01,9976.0
1986-01-01,10326.0
1987-01-01,10942.0
1988-01-01,11744.0
1989-01-01,12717.0
1990-01-01,13356.0
1991-01-01,13964.0
1992-01-01,14888.0
1993-01-01,15667.0
1994-01-01,16737.0
1995-01-01,17488.0
1996-01-01,18386.0
1997-01-01,19221.0
1998-01-01,20180.0
1999-01-01,20684.0
2000-01-01,21640.0
2001-01-01,22781.0
2002-01-01,23136.0
2003-01-01,23989.0
2004-01-01,25192.0
2005-01-01,26703.0
2006-01-01,27840.0
2007-01-01,29368.0
2008-01-01,30479.0
2009-01-01,29855.0
2010-01-01,30902.0
2011-01-01,32160.0
2012-01-01,33308.0
2013-01-01,33853.0
2014-01-01,34547.0
2015-01-01,35025.0
2016-01-01,35618.0
2017-01-01,36389.0
2018-01-01,37904.0
2019-01-01,39368.0
