DATE,MTPCPI
1929-01-01,592
1930-01-01,501
1931-01-01,387
1932-01-01,334
1933-01-01,299
1934-01-01,365
1935-01-01,475
1936-01-01,478
1937-01-01,514
1938-01-01,515
1939-01-01,530
1940-01-01,566
1941-01-01,708
1942-01-01,901
1943-01-01,1155
1944-01-01,1185
1945-01-01,1212
1946-01-01,1309
1947-01-01,1480
1948-01-01,1638
1949-01-01,1433
1950-01-01,1678.0
1951-01-01,1834.0
1952-01-01,1855.0
1953-01-01,1842.0
1954-01-01,1807.0
1955-01-01,1934.0
1956-01-01,1971.0
1957-01-01,2034.0
1958-01-01,2124.0
1959-01-01,2081.0
1960-01-01,2137.0
1961-01-01,2090.0
1962-01-01,2437.0
1963-01-01,2406.0
1964-01-01,2447.0
1965-01-01,2629.0
1966-01-01,2814.0
1967-01-01,2895.0
1968-01-01,3040.0
1969-01-01,3387.0
1970-01-01,3735.0
1971-01-01,3920.0
1972-01-01,4492.0
1973-01-01,5149.0
1974-01-01,5521.0
1975-01-01,5978.0
1976-01-01,6337.0
1977-01-01,6739.0
1978-01-01,7768.0
1979-01-01,8298.0
1980-01-01,9142.0
1981-01-01,10303.0
1982-01-01,10741.0
1983-01-01,11151.0
1984-01-01,11698.0
1985-01-01,11843.0
1986-01-01,12443.0
1987-01-01,12916.0
1988-01-01,13356.0
1989-01-01,14726.0
1990-01-01,15469.0
1991-01-01,16298.0
1992-01-01,16971.0
1993-01-01,17950.0
1994-01-01,18095.0
1995-01-01,18728.0
1996-01-01,19411.0
1997-01-01,20159.0
1998-01-01,21494.0
1999-01-01,21830.0
2000-01-01,23094.0
2001-01-01,23985.0
2002-01-01,24526.0
2003-01-01,26077.0
2004-01-01,27922.0
2005-01-01,29785.0
2006-01-01,31912.0
2007-01-01,33914.0
2008-01-01,35253.0
2009-01-01,34260.0
2010-01-01,35896.0
2011-01-01,38180.0
2012-01-01,40319.0
2013-01-01,40176.0
2014-01-01,41901.0
2015-01-01,43505.0
2016-01-01,43722.0
2017-01-01,45338.0
2018-01-01,47611.0
2019-01-01,49074.0
