DATE,NCPCPI
1929-01-01,327
1930-01-01,287
1931-01-01,244
1932-01-01,183
1933-01-01,203
1934-01-01,247
1935-01-01,267
1936-01-01,294
1937-01-01,321
1938-01-01,291
1939-01-01,312
1940-01-01,323
1941-01-01,430
1942-01-01,588
1943-01-01,713
1944-01-01,778
1945-01-01,835
1946-01-01,875
1947-01-01,905
1948-01-01,1008
1949-01-01,978
1950-01-01,1095.0
1951-01-01,1217.0
1952-01-01,1256.0
1953-01-01,1304.0
1954-01-01,1330.0
1955-01-01,1404.0
1956-01-01,1473.0
1957-01-01,1462.0
1958-01-01,1540.0
1959-01-01,1619.0
1960-01-01,1666.0
1961-01-01,1729.0
1962-01-01,1840.0
1963-01-01,1921.0
1964-01-01,2055.0
1965-01-01,2194.0
1966-01-01,2421.0
1967-01-01,2588.0
1968-01-01,2825.0
1969-01-01,3152.0
1970-01-01,3397.0
1971-01-01,3626.0
1972-01-01,4025.0
1973-01-01,4491.0
1974-01-01,4881.0
1975-01-01,5229.0
1976-01-01,5745.0
1977-01-01,6211.0
1978-01-01,6922.0
1979-01-01,7568.0
1980-01-01,8348.0
1981-01-01,9317.0
1982-01-01,9872.0
1983-01-01,10637.0
1984-01-01,11863.0
1985-01-01,12635.0
1986-01-01,13477.0
1987-01-01,14349.0
1988-01-01,15522.0
1989-01-01,16708.0
1990-01-01,17485.0
1991-01-01,17967.0
1992-01-01,19236.0
1993-01-01,20085.0
1994-01-01,20951.0
1995-01-01,21987.0
1996-01-01,23040.0
1997-01-01,24251.0
1998-01-01,25454.0
1999-01-01,26262.0
2000-01-01,27540.0
2001-01-01,27878.0
2002-01-01,27896.0
2003-01-01,28688.0
2004-01-01,30590.0
2005-01-01,32283.0
2006-01-01,34324.0
2007-01-01,36138.0
2008-01-01,37687.0
2009-01-01,35802.0
2010-01-01,35682.0
2011-01-01,36764.0
2012-01-01,38969.0
2013-01-01,38201.0
2014-01-01,40069.0
2015-01-01,41857.0
2016-01-01,42659.0
2017-01-01,44192.0
2018-01-01,46126.0
2019-01-01,47803.0
