DATE,NDPCPI
1929-01-01,377
1930-01-01,308
1931-01-01,195
1932-01-01,178
1933-01-01,151
1934-01-01,184
1935-01-01,271
1936-01-01,238
1937-01-01,324
1938-01-01,282
1939-01-01,316
1940-01-01,352
1941-01-01,521
1942-01-01,658
1943-01-01,959
1944-01-01,1020
1945-01-01,1037
1946-01-01,1079
1947-01-01,1467
1948-01-01,1462
1949-01-01,1231
1950-01-01,1388.0
1951-01-01,1480.0
1952-01-01,1351.0
1953-01-01,1372.0
1954-01-01,1407.0
1955-01-01,1544.0
1956-01-01,1615.0
1957-01-01,1662.0
1958-01-01,1931.0
1959-01-01,1757.0
1960-01-01,1909.0
1961-01-01,1730.0
1962-01-01,2441.0
1963-01-01,2249.0
1964-01-01,2220.0
1965-01-01,2584.0
1966-01-01,2623.0
1967-01-01,2714.0
1968-01-01,2864.0
1969-01-01,3205.0
1970-01-01,3397.0
1971-01-01,3868.0
1972-01-01,4576.0
1973-01-01,6383.0
1974-01-01,6304.0
1975-01-01,6549.0
1976-01-01,6357.0
1977-01-01,6564.0
1978-01-01,8235.0
1979-01-01,8445.0
1980-01-01,8053.0
1981-01-01,10462.0
1982-01-01,11141.0
1983-01-01,11573.0
1984-01-01,12429.0
1985-01-01,12912.0
1986-01-01,13248.0
1987-01-01,13814.0
1988-01-01,12920.0
1989-01-01,14671.0
1990-01-01,16084.0
1991-01-01,16340.0
1992-01-01,17849.0
1993-01-01,18009.0
1994-01-01,19460.0
1995-01-01,19404.0
1996-01-01,21627.0
1997-01-01,21196.0
1998-01-01,23327.0
1999-01-01,23793.0
2000-01-01,25955.0
2001-01-01,26544.0
2002-01-01,27184.0
2003-01-01,29529.0
2004-01-01,29834.0
2005-01-01,31546.0
2006-01-01,32893.0
2007-01-01,36283.0
2008-01-01,40384.0
2009-01-01,39643.0
2010-01-01,43492.0
2011-01-01,47987.0
2012-01-01,55421.0
2013-01-01,53821.0
2014-01-01,56314.0
2015-01-01,53842.0
2016-01-01,52519.0
2017-01-01,52686.0
2018-01-01,55598.0
2019-01-01,57501.0
