DATE,NEPCPI
1929-01-01,584
1930-01-01,510
1931-01-01,409
1932-01-01,303
1933-01-01,273
1934-01-01,264
1935-01-01,405
1936-01-01,395
1937-01-01,414
1938-01-01,402
1939-01-01,399
1940-01-01,440
1941-01-01,548
1942-01-01,823
1943-01-01,1029
1944-01-01,1101
1945-01-01,1197
1946-01-01,1187
1947-01-01,1269
1948-01-01,1545
1949-01-01,1361
1950-01-01,1583.0
1951-01-01,1667.0
1952-01-01,1797.0
1953-01-01,1705.0
1954-01-01,1793.0
1955-01-01,1693.0
1956-01-01,1718.0
1957-01-01,1996.0
1958-01-01,2108.0
1959-01-01,2112.0
1960-01-01,2216.0
1961-01-01,2223.0
1962-01-01,2386.0
1963-01-01,2433.0
1964-01-01,2491.0
1965-01-01,2761.0
1966-01-01,2995.0
1967-01-01,3097.0
1968-01-01,3282.0
1969-01-01,3649.0
1970-01-01,3897.0
1971-01-01,4234.0
1972-01-01,4645.0
1973-01-01,5382.0
1974-01-01,5570.0
1975-01-01,6336.0
1976-01-01,6597.0
1977-01-01,7123.0
1978-01-01,8208.0
1979-01-01,8843.0
1980-01-01,9386.0
1981-01-01,10859.0
1982-01-01,11646.0
1983-01-01,12022.0
1984-01-01,13354.0
1985-01-01,14103.0
1986-01-01,14609.0
1987-01-01,15362.0
1988-01-01,16371.0
1989-01-01,17338.0
1990-01-01,18487.0
1991-01-01,18989.0
1992-01-01,19984.0
1993-01-01,20478.0
1994-01-01,21617.0
1995-01-01,22593.0
1996-01-01,24371.0
1997-01-01,24915.0
1998-01-01,26454.0
1999-01-01,27552.0
2000-01-01,29020.0
2001-01-01,30213.0
2002-01-01,30532.0
2003-01-01,32223.0
2004-01-01,33499.0
2005-01-01,34510.0
2006-01-01,35869.0
2007-01-01,38390.0
2008-01-01,40225.0
2009-01-01,39264.0
2010-01-01,40920.0
2011-01-01,45426.0
2012-01-01,46562.0
2013-01-01,46596.0
2014-01-01,48953.0
2015-01-01,50594.0
2016-01-01,49711.0
2017-01-01,50707.0
2018-01-01,53364.0
2019-01-01,54871.0
