DATE,NHPCPI
1929-01-01,688
1930-01-01,648
1931-01-01,560
1932-01-01,430
1933-01-01,420
1934-01-01,480
1935-01-01,504
1936-01-01,542
1937-01-01,570
1938-01-01,537
1939-01-01,566
1940-01-01,586
1941-01-01,720
1942-01-01,871
1943-01-01,1002
1944-01-01,1082
1945-01-01,1139
1946-01-01,1168
1947-01-01,1233
1948-01-01,1312
1949-01-01,1297
1950-01-01,1373.0
1951-01-01,1538.0
1952-01-01,1612.0
1953-01-01,1692.0
1954-01-01,1746.0
1955-01-01,1869.0
1956-01-01,1951.0
1957-01-01,2065.0
1958-01-01,2071.0
1959-01-01,2198.0
1960-01-01,2271.0
1961-01-01,2356.0
1962-01-01,2464.0
1963-01-01,2503.0
1964-01-01,2635.0
1965-01-01,2787.0
1966-01-01,3031.0
1967-01-01,3235.0
1968-01-01,3513.0
1969-01-01,3842.0
1970-01-01,3997.0
1971-01-01,4225.0
1972-01-01,4557.0
1973-01-01,5005.0
1974-01-01,5406.0
1975-01-01,5786.0
1976-01-01,6418.0
1977-01-01,7050.0
1978-01-01,7932.0
1979-01-01,8896.0
1980-01-01,10039.0
1981-01-01,11229.0
1982-01-01,12219.0
1983-01-01,13269.0
1984-01-01,14717.0
1985-01-01,15894.0
1986-01-01,17081.0
1987-01-01,18365.0
1988-01-01,19696.0
1989-01-01,20685.0
1990-01-01,20682.0
1991-01-01,21436.0
1992-01-01,22337.0
1993-01-01,22831.0
1994-01-01,24088.0
1995-01-01,25228.0
1996-01-01,26339.0
1997-01-01,27975.0
1998-01-01,30293.0
1999-01-01,31882.0
2000-01-01,35380.0
2001-01-01,36792.0
2002-01-01,37077.0
2003-01-01,37536.0
2004-01-01,39484.0
2005-01-01,40723.0
2006-01-01,43248.0
2007-01-01,44670.0
2008-01-01,45694.0
2009-01-01,44892.0
2010-01-01,46785.0
2011-01-01,48924.0
2012-01-01,50995.0
2013-01-01,50746.0
2014-01-01,52669.0
2015-01-01,54785.0
2016-01-01,56482.0
2017-01-01,58439.0
2018-01-01,61429.0
2019-01-01,63880.0
