DATE,NJPCPI
1929-01-01,921
1930-01-01,851
1931-01-01,741
1932-01-01,593
1933-01-01,529
1934-01-01,578
1935-01-01,631
1936-01-01,715
1937-01-01,753
1938-01-01,704
1939-01-01,757
1940-01-01,830
1941-01-01,969
1942-01-01,1185
1943-01-01,1454
1944-01-01,1576
1945-01-01,1609
1946-01-01,1547
1947-01-01,1589
1948-01-01,1667
1949-01-01,1639
1950-01-01,1820.0
1951-01-01,2024.0
1952-01-01,2144.0
1953-01-01,2262.0
1954-01-01,2246.0
1955-01-01,2322.0
1956-01-01,2469.0
1957-01-01,2575.0
1958-01-01,2480.0
1959-01-01,2611.0
1960-01-01,2712.0
1961-01-01,2777.0
1962-01-01,2936.0
1963-01-01,3008.0
1964-01-01,3163.0
1965-01-01,3344.0
1966-01-01,3577.0
1967-01-01,3810.0
1968-01-01,4135.0
1969-01-01,4581.0
1970-01-01,4909.0
1971-01-01,5229.0
1972-01-01,5642.0
1973-01-01,6143.0
1974-01-01,6673.0
1975-01-01,7203.0
1976-01-01,7817.0
1977-01-01,8554.0
1978-01-01,9475.0
1979-01-01,10493.0
1980-01-01,11801.0
1981-01-01,13131.0
1982-01-01,14142.0
1983-01-01,15190.0
1984-01-01,16708.0
1985-01-01,17788.0
1986-01-01,18902.0
1987-01-01,20251.0
1988-01-01,22120.0
1989-01-01,23692.0
1990-01-01,24754.0
1991-01-01,25072.0
1992-01-01,26713.0
1993-01-01,27374.0
1994-01-01,28110.0
1995-01-01,29588.0
1996-01-01,31052.0
1997-01-01,32804.0
1998-01-01,34660.0
1999-01-01,35989.0
2000-01-01,39257.0
2001-01-01,40306.0
2002-01-01,40626.0
2003-01-01,41425.0
2004-01-01,43208.0
2005-01-01,44775.0
2006-01-01,48015.0
2007-01-01,50723.0
2008-01-01,52005.0
2009-01-01,50149.0
2010-01-01,51420.0
2011-01-01,53694.0
2012-01-01,55587.0
2013-01-01,56054.0
2014-01-01,58670.0
2015-01-01,61130.0
2016-01-01,62727.0
2017-01-01,64946.0
2018-01-01,68409.0
2019-01-01,70979.0
