DATE,NVPCPI
1929-01-01,874
1930-01-01,834
1931-01-01,665
1932-01-01,557
1933-01-01,499
1934-01-01,560
1935-01-01,667
1936-01-01,845
1937-01-01,775
1938-01-01,785
1939-01-01,864
1940-01-01,902
1941-01-01,1001
1942-01-01,1592
1943-01-01,1550
1944-01-01,1526
1945-01-01,1658
1946-01-01,1786
1947-01-01,1791
1948-01-01,1811
1949-01-01,1868
1950-01-01,2089.0
1951-01-01,2315.0
1952-01-01,2513.0
1953-01-01,2574.0
1954-01-01,2542.0
1955-01-01,2657.0
1956-01-01,2634.0
1957-01-01,2719.0
1958-01-01,2780.0
1959-01-01,2932.0
1960-01-01,3079.0
1961-01-01,3153.0
1962-01-01,3369.0
1963-01-01,3350.0
1964-01-01,3388.0
1965-01-01,3480.0
1966-01-01,3656.0
1967-01-01,3857.0
1968-01-01,4340.0
1969-01-01,4747.0
1970-01-01,5191.0
1971-01-01,5501.0
1972-01-01,5847.0
1973-01-01,6381.0
1974-01-01,6746.0
1975-01-01,7331.0
1976-01-01,7994.0
1977-01-01,8815.0
1978-01-01,10045.0
1979-01-01,10945.0
1980-01-01,11951.0
1981-01-01,12991.0
1982-01-01,13343.0
1983-01-01,13892.0
1984-01-01,14760.0
1985-01-01,15561.0
1986-01-01,16305.0
1987-01-01,17075.0
1988-01-01,18458.0
1989-01-01,19653.0
1990-01-01,20516.0
1991-01-01,21228.0
1992-01-01,22554.0
1993-01-01,23360.0
1994-01-01,24335.0
1995-01-01,25379.0
1996-01-01,26667.0
1997-01-01,27534.0
1998-01-01,29291.0
1999-01-01,30292.0
2000-01-01,31871.0
2001-01-01,32340.0
2002-01-01,32030.0
2003-01-01,32996.0
2004-01-01,35163.0
2005-01-01,38103.0
2006-01-01,39793.0
2007-01-01,40201.0
2008-01-01,38734.0
2009-01-01,36078.0
2010-01-01,37228.0
2011-01-01,38551.0
2012-01-01,39659.0
2013-01-01,39285.0
2014-01-01,41505.0
2015-01-01,44092.0
2016-01-01,45001.0
2017-01-01,46954.0
2018-01-01,49290.0
2019-01-01,50883.0
