DATE,NYPCPI
1929-01-01,1156
1930-01-01,1042
1931-01-01,889
1932-01-01,686
1933-01-01,634
1934-01-01,688
1935-01-01,732
1936-01-01,819
1937-01-01,848
1938-01-01,801
1939-01-01,837
1940-01-01,883
1941-01-01,1012
1942-01-01,1191
1943-01-01,1416
1944-01-01,1569
1945-01-01,1681
1946-01-01,1725
1947-01-01,1751
1948-01-01,1783
1949-01-01,1738
1950-01-01,1868.0
1951-01-01,2020.0
1952-01-01,2075.0
1953-01-01,2160.0
1954-01-01,2190.0
1955-01-01,2310.0
1956-01-01,2432.0
1957-01-01,2542.0
1958-01-01,2608.0
1959-01-01,2750.0
1960-01-01,2847.0
1961-01-01,2936.0
1962-01-01,3055.0
1963-01-01,3160.0
1964-01-01,3351.0
1965-01-01,3531.0
1966-01-01,3768.0
1967-01-01,4044.0
1968-01-01,4435.0
1969-01-01,4619.0
1970-01-01,4920.0
1971-01-01,5234.0
1972-01-01,5603.0
1973-01-01,6022.0
1974-01-01,6533.0
1975-01-01,7066.0
1976-01-01,7510.0
1977-01-01,8158.0
1978-01-01,8949.0
1979-01-01,9831.0
1980-01-01,11001.0
1981-01-01,12277.0
1982-01-01,13327.0
1983-01-01,14286.0
1984-01-01,15749.0
1985-01-01,16815.0
1986-01-01,17915.0
1987-01-01,19064.0
1988-01-01,20827.0
1989-01-01,22461.0
1990-01-01,23990.0
1991-01-01,23868.0
1992-01-01,25061.0
1993-01-01,25581.0
1994-01-01,26259.0
1995-01-01,27576.0
1996-01-01,28936.0
1997-01-01,30443.0
1998-01-01,32022.0
1999-01-01,33673.0
2000-01-01,36028.0
2001-01-01,37194.0
2002-01-01,37008.0
2003-01-01,37459.0
2004-01-01,39185.0
2005-01-01,40905.0
2006-01-01,44179.0
2007-01-01,47520.0
2008-01-01,48328.0
2009-01-01,47277.0
2010-01-01,48973.0
2011-01-01,51496.0
2012-01-01,53986.0
2013-01-01,54501.0
2014-01-01,56758.0
2015-01-01,59162.0
2016-01-01,61251.0
2017-01-01,65648.0
2018-01-01,68710.0
2019-01-01,71440.0
