DATE,OHPCPI
1929-01-01,772
1930-01-01,664
1931-01-01,563
1932-01-01,403
1933-01-01,387
1934-01-01,457
1935-01-01,519
1936-01-01,597
1937-01-01,651
1938-01-01,565
1939-01-01,620
1940-01-01,664
1941-01-01,828
1942-01-01,1032
1943-01-01,1273
1944-01-01,1330
1945-01-01,1361
1946-01-01,1324
1947-01-01,1411
1948-01-01,1541
1949-01-01,1456
1950-01-01,1611.0
1951-01-01,1841.0
1952-01-01,1923.0
1953-01-01,2031.0
1954-01-01,1974.0
1955-01-01,2098.0
1956-01-01,2193.0
1957-01-01,2256.0
1958-01-01,2194.0
1959-01-01,2331.0
1960-01-01,2410.0
1961-01-01,2426.0
1962-01-01,2539.0
1963-01-01,2630.0
1964-01-01,2781.0
1965-01-01,2970.0
1966-01-01,3200.0
1967-01-01,3325.0
1968-01-01,3633.0
1969-01-01,3957.0
1970-01-01,4137.0
1971-01-01,4376.0
1972-01-01,4743.0
1973-01-01,5252.0
1974-01-01,5752.0
1975-01-01,6143.0
1976-01-01,6752.0
1977-01-01,7464.0
1978-01-01,8231.0
1979-01-01,9088.0
1980-01-01,9924.0
1981-01-01,10813.0
1982-01-01,11349.0
1983-01-01,12026.0
1984-01-01,13286.0
1985-01-01,14106.0
1986-01-01,14771.0
1987-01-01,15436.0
1988-01-01,16508.0
1989-01-01,17703.0
1990-01-01,18683.0
1991-01-01,18973.0
1992-01-01,20056.0
1993-01-01,20752.0
1994-01-01,21816.0
1995-01-01,22771.0
1996-01-01,23762.0
1997-01-01,25078.0
1998-01-01,26454.0
1999-01-01,27277.0
2000-01-01,28671.0
2001-01-01,29378.0
2002-01-01,29773.0
2003-01-01,30574.0
2004-01-01,31690.0
2005-01-01,32577.0
2006-01-01,34156.0
2007-01-01,35520.0
2008-01-01,36596.0
2009-01-01,35532.0
2010-01-01,36575.0
2011-01-01,39067.0
2012-01-01,40632.0
2013-01-01,41098.0
2014-01-01,42755.0
2015-01-01,44341.0
2016-01-01,45043.0
2017-01-01,46669.0
2018-01-01,48793.0
2019-01-01,50546.0
