DATE,OKPCPI
1929-01-01,449
1930-01-01,365
1931-01-01,294
1932-01-01,214
1933-01-01,220
1934-01-01,250
1935-01-01,296
1936-01-01,322
1937-01-01,375
1938-01-01,345
1939-01-01,348
1940-01-01,374
1941-01-01,436
1942-01-01,639
1943-01-01,802
1944-01-01,965
1945-01-01,989
1946-01-01,960
1947-01-01,1031
1948-01-01,1144
1949-01-01,1180
1950-01-01,1164.0
1951-01-01,1319.0
1952-01-01,1438.0
1953-01-01,1518.0
1954-01-01,1504.0
1955-01-01,1560.0
1956-01-01,1642.0
1957-01-01,1711.0
1958-01-01,1856.0
1959-01-01,1919.0
1960-01-01,1974.0
1961-01-01,2006.0
1962-01-01,2054.0
1963-01-01,2112.0
1964-01-01,2256.0
1965-01-01,2424.0
1966-01-01,2585.0
1967-01-01,2784.0
1968-01-01,3032.0
1969-01-01,3335.0
1970-01-01,3634.0
1971-01-01,3882.0
1972-01-01,4197.0
1973-01-01,4696.0
1974-01-01,5153.0
1975-01-01,5677.0
1976-01-01,6145.0
1977-01-01,6733.0
1978-01-01,7517.0
1979-01-01,8557.0
1980-01-01,9629.0
1981-01-01,11047.0
1982-01-01,11907.0
1983-01-01,11876.0
1984-01-01,12761.0
1985-01-01,13330.0
1986-01-01,13491.0
1987-01-01,13630.0
1988-01-01,14405.0
1989-01-01,15402.0
1990-01-01,16235.0
1991-01-01,16589.0
1992-01-01,17399.0
1993-01-01,17910.0
1994-01-01,18537.0
1995-01-01,19173.0
1996-01-01,20126.0
1997-01-01,21072.0
1998-01-01,21992.0
1999-01-01,22377.0
2000-01-01,24096.0
2001-01-01,25464.0
2002-01-01,25853.0
2003-01-01,26911.0
2004-01-01,28862.0
2005-01-01,31312.0
2006-01-01,34355.0
2007-01-01,35182.0
2008-01-01,38568.0
2009-01-01,35338.0
2010-01-01,36541.0
2011-01-01,39038.0
2012-01-01,41467.0
2013-01-01,43097.0
2014-01-01,45542.0
2015-01-01,44249.0
2016-01-01,41876.0
2017-01-01,43649.0
2018-01-01,46267.0
2019-01-01,47951.0
