DATE,ORPCPI
1929-01-01,666
1930-01-01,605
1931-01-01,504
1932-01-01,377
1933-01-01,357
1934-01-01,437
1935-01-01,459
1936-01-01,547
1937-01-01,556
1938-01-01,531
1939-01-01,571
1940-01-01,611
1941-01-01,823
1942-01-01,1132
1943-01-01,1403
1944-01-01,1402
1945-01-01,1372
1946-01-01,1390
1947-01-01,1515
1948-01-01,1676
1949-01-01,1641
1950-01-01,1695.0
1951-01-01,1876.0
1952-01-01,1961.0
1953-01-01,1973.0
1954-01-01,1929.0
1955-01-01,2048.0
1956-01-01,2146.0
1957-01-01,2133.0
1958-01-01,2182.0
1959-01-01,2322.0
1960-01-01,2366.0
1961-01-01,2435.0
1962-01-01,2542.0
1963-01-01,2626.0
1964-01-01,2773.0
1965-01-01,2933.0
1966-01-01,3107.0
1967-01-01,3278.0
1968-01-01,3524.0
1969-01-01,3798.0
1970-01-01,4065.0
1971-01-01,4364.0
1972-01-01,4788.0
1973-01-01,5291.0
1974-01-01,5889.0
1975-01-01,6418.0
1976-01-01,7091.0
1977-01-01,7712.0
1978-01-01,8592.0
1979-01-01,9461.0
1980-01-01,10234.0
1981-01-01,10933.0
1982-01-01,11260.0
1983-01-01,12026.0
1984-01-01,12970.0
1985-01-01,13590.0
1986-01-01,14243.0
1987-01-01,14881.0
1988-01-01,15969.0
1989-01-01,17235.0
1990-01-01,18159.0
1991-01-01,18670.0
1992-01-01,19546.0
1993-01-01,20452.0
1994-01-01,21475.0
1995-01-01,22663.0
1996-01-01,23974.0
1997-01-01,25015.0
1998-01-01,26063.0
1999-01-01,26792.0
2000-01-01,28561.0
2001-01-01,29037.0
2002-01-01,29019.0
2003-01-01,29759.0
2004-01-01,31238.0
2005-01-01,32496.0
2006-01-01,34909.0
2007-01-01,36003.0
2008-01-01,37067.0
2009-01-01,35481.0
2010-01-01,36122.0
2011-01-01,37818.0
2012-01-01,39602.0
2013-01-01,40020.0
2014-01-01,42493.0
2015-01-01,45194.0
2016-01-01,46514.0
2017-01-01,48407.0
2018-01-01,50951.0
2019-01-01,52937.0
