DATE,RIPCPI
1929-01-01,881
1930-01-01,795
1931-01-01,718
1932-01-01,584
1933-01-01,569
1934-01-01,609
1935-01-01,655
1936-01-01,721
1937-01-01,742
1938-01-01,683
1939-01-01,732
1940-01-01,767
1941-01-01,958
1942-01-01,1189
1943-01-01,1246
1944-01-01,1312
1945-01-01,1318
1946-01-01,1405
1947-01-01,1488
1948-01-01,1468
1949-01-01,1414
1950-01-01,1601.0
1951-01-01,1779.0
1952-01-01,1835.0
1953-01-01,1930.0
1954-01-01,1931.0
1955-01-01,2040.0
1956-01-01,2081.0
1957-01-01,2110.0
1958-01-01,2197.0
1959-01-01,2317.0
1960-01-01,2358.0
1961-01-01,2457.0
1962-01-01,2603.0
1963-01-01,2703.0
1964-01-01,2849.0
1965-01-01,3049.0
1966-01-01,3307.0
1967-01-01,3546.0
1968-01-01,3820.0
1969-01-01,4015.0
1970-01-01,4306.0
1971-01-01,4499.0
1972-01-01,4836.0
1973-01-01,5158.0
1974-01-01,5547.0
1975-01-01,6068.0
1976-01-01,6600.0
1977-01-01,7187.0
1978-01-01,7868.0
1979-01-01,8742.0
1980-01-01,9898.0
1981-01-01,10980.0
1982-01-01,11812.0
1983-01-01,12741.0
1984-01-01,13911.0
1985-01-01,14876.0
1986-01-01,15811.0
1987-01-01,16721.0
1988-01-01,18305.0
1989-01-01,19839.0
1990-01-01,20316.0
1991-01-01,20419.0
1992-01-01,21329.0
1993-01-01,22180.0
1994-01-01,22728.0
1995-01-01,23918.0
1996-01-01,24657.0
1997-01-01,25975.0
1998-01-01,27552.0
1999-01-01,28596.0
2000-01-01,30515.0
2001-01-01,31910.0
2002-01-01,32958.0
2003-01-01,34512.0
2004-01-01,36207.0
2005-01-01,37220.0
2006-01-01,39236.0
2007-01-01,41042.0
2008-01-01,41755.0
2009-01-01,40766.0
2010-01-01,42944.0
2011-01-01,44670.0
2012-01-01,46282.0
2013-01-01,46226.0
2014-01-01,48169.0
2015-01-01,50058.0
2016-01-01,50555.0
2017-01-01,52419.0
2018-01-01,54800.0
2019-01-01,56542.0
