DATE,TXPCPI
1929-01-01,474
1930-01-01,407
1931-01-01,345
1932-01-01,262
1933-01-01,254
1934-01-01,291
1935-01-01,325
1936-01-01,372
1937-01-01,418
1938-01-01,404
1939-01-01,417
1940-01-01,438
1941-01-01,539
1942-01-01,742
1943-01-01,970
1944-01-01,1068
1945-01-01,1082
1946-01-01,1061
1947-01-01,1154
1948-01-01,1221
1949-01-01,1319
1950-01-01,1392.0
1951-01-01,1524.0
1952-01-01,1606.0
1953-01-01,1641.0
1954-01-01,1681.0
1955-01-01,1752.0
1956-01-01,1837.0
1957-01-01,1913.0
1958-01-01,1934.0
1959-01-01,2013.0
1960-01-01,2020.0
1961-01-01,2092.0
1962-01-01,2147.0
1963-01-01,2219.0
1964-01-01,2354.0
1965-01-01,2507.0
1966-01-01,2713.0
1967-01-01,2934.0
1968-01-01,3203.0
1969-01-01,3493.0
1970-01-01,3782.0
1971-01-01,4007.0
1972-01-01,4352.0
1973-01-01,4835.0
1974-01-01,5342.0
1975-01-01,5947.0
1976-01-01,6528.0
1977-01-01,7124.0
1978-01-01,8023.0
1979-01-01,8978.0
1980-01-01,9983.0
1981-01-01,11413.0
1982-01-01,12102.0
1983-01-01,12575.0
1984-01-01,13546.0
1985-01-01,14353.0
1986-01-01,14427.0
1987-01-01,14653.0
1988-01-01,15494.0
1989-01-01,16417.0
1990-01-01,17455.0
1991-01-01,17897.0
1992-01-01,18956.0
1993-01-01,19624.0
1994-01-01,20287.0
1995-01-01,21246.0
1996-01-01,22397.0
1997-01-01,23919.0
1998-01-01,25502.0
1999-01-01,26337.0
2000-01-01,28135.0
2001-01-01,29339.0
2002-01-01,29185.0
2003-01-01,29772.0
2004-01-01,30688.0
2005-01-01,32745.0
2006-01-01,35144.0
2007-01-01,36646.0
2008-01-01,39271.0
2009-01-01,36711.0
2010-01-01,38276.0
2011-01-01,41245.0
2012-01-01,43406.0
2013-01-01,43797.0
2014-01-01,46311.0
2015-01-01,46605.0
2016-01-01,45654.0
2017-01-01,47975.0
2018-01-01,50483.0
2019-01-01,52504.0
