DATE,WAPCPI
1929-01-01,740
1930-01-01,657
1931-01-01,534
1932-01-01,402
1933-01-01,376
1934-01-01,442
1935-01-01,491
1936-01-01,570
1937-01-01,601
1938-01-01,583
1939-01-01,618
1940-01-01,667
1941-01-01,885
1942-01-01,1233
1943-01-01,1507
1944-01-01,1557
1945-01-01,1452
1946-01-01,1432
1947-01-01,1531
1948-01-01,1678
1949-01-01,1656
1950-01-01,1797.0
1951-01-01,1955.0
1952-01-01,2063.0
1953-01-01,2168.0
1954-01-01,2183.0
1955-01-01,2222.0
1956-01-01,2277.0
1957-01-01,2371.0
1958-01-01,2376.0
1959-01-01,2480.0
1960-01-01,2539.0
1961-01-01,2640.0
1962-01-01,2788.0
1963-01-01,2841.0
1964-01-01,2968.0
1965-01-01,3190.0
1966-01-01,3498.0
1967-01-01,3689.0
1968-01-01,3986.0
1969-01-01,4258.0
1970-01-01,4400.0
1971-01-01,4595.0
1972-01-01,4955.0
1973-01-01,5532.0
1974-01-01,6152.0
1975-01-01,6831.0
1976-01-01,7424.0
1977-01-01,8062.0
1978-01-01,9101.0
1979-01-01,10156.0
1980-01-01,11130.0
1981-01-01,12133.0
1982-01-01,12769.0
1983-01-01,13553.0
1984-01-01,14373.0
1985-01-01,15085.0
1986-01-01,15917.0
1987-01-01,16556.0
1988-01-01,17613.0
1989-01-01,19028.0
1990-01-01,20222.0
1991-01-01,21129.0
1992-01-01,22237.0
1993-01-01,22860.0
1994-01-01,23600.0
1995-01-01,24475.0
1996-01-01,25898.0
1997-01-01,27405.0
1998-01-01,29531.0
1999-01-01,31141.0
2000-01-01,32909.0
2001-01-01,33280.0
2002-01-01,33478.0
2003-01-01,34543.0
2004-01-01,36636.0
2005-01-01,37688.0
2006-01-01,40359.0
2007-01-01,43130.0
2008-01-01,44558.0
2009-01-01,41958.0
2010-01-01,42676.0
2011-01-01,44676.0
2012-01-01,47739.0
2013-01-01,48296.0
2014-01-01,51502.0
2015-01-01,53840.0
2016-01-01,55883.0
2017-01-01,58566.0
2018-01-01,62122.0
2019-01-01,64898.0
