DATE,WIPCPI
1929-01-01,670
1930-01-01,585
1931-01-01,469
1932-01-01,362
1933-01-01,334
1934-01-01,380
1935-01-01,461
1936-01-01,518
1937-01-01,551
1938-01-01,508
1939-01-01,515
1940-01-01,548
1941-01-01,673
1942-01-01,872
1943-01-01,1065
1944-01-01,1116
1945-01-01,1191
1946-01-01,1214
1947-01-01,1298
1948-01-01,1436
1949-01-01,1391
1950-01-01,1515.0
1951-01-01,1750.0
1952-01-01,1814.0
1953-01-01,1850.0
1954-01-01,1786.0
1955-01-01,1891.0
1956-01-01,2007.0
1957-01-01,2078.0
1958-01-01,2089.0
1959-01-01,2237.0
1960-01-01,2270.0
1961-01-01,2315.0
1962-01-01,2423.0
1963-01-01,2465.0
1964-01-01,2619.0
1965-01-01,2788.0
1966-01-01,3016.0
1967-01-01,3161.0
1968-01-01,3428.0
1969-01-01,3752.0
1970-01-01,3988.0
1971-01-01,4251.0
1972-01-01,4609.0
1973-01-01,5125.0
1974-01-01,5605.0
1975-01-01,6099.0
1976-01-01,6676.0
1977-01-01,7416.0
1978-01-01,8249.0
1979-01-01,9172.0
1980-01-01,10034.0
1981-01-01,10920.0
1982-01-01,11517.0
1983-01-01,12114.0
1984-01-01,13285.0
1985-01-01,13960.0
1986-01-01,14702.0
1987-01-01,15445.0
1988-01-01,16269.0
1989-01-01,17612.0
1990-01-01,18438.0
1991-01-01,18936.0
1992-01-01,20179.0
1993-01-01,20986.0
1994-01-01,22088.0
1995-01-01,23015.0
1996-01-01,24129.0
1997-01-01,25429.0
1998-01-01,27054.0
1999-01-01,28020.0
2000-01-01,29648.0
2001-01-01,30911.0
2002-01-01,31510.0
2003-01-01,32172.0
2004-01-01,33421.0
2005-01-01,34434.0
2006-01-01,36332.0
2007-01-01,37778.0
2008-01-01,38910.0
2009-01-01,38070.0
2010-01-01,38997.0
2011-01-01,41174.0
2012-01-01,43034.0
2013-01-01,43186.0
2014-01-01,44943.0
2015-01-01,46685.0
2016-01-01,47553.0
2017-01-01,49305.0
2018-01-01,51647.0
2019-01-01,53583.0
