DATE,WVPCPI
1929-01-01,459
1930-01-01,407
1931-01-01,354
1932-01-01,257
1933-01-01,259
1934-01-01,313
1935-01-01,338
1936-01-01,391
1937-01-01,419
1938-01-01,371
1939-01-01,390
1940-01-01,409
1941-01-01,500
1942-01-01,617
1943-01-01,748
1944-01-01,829
1945-01-01,900
1946-01-01,931
1947-01-01,1036
1948-01-01,1105
1949-01-01,1016
1950-01-01,1051.0
1951-01-01,1179.0
1952-01-01,1244.0
1953-01-01,1273.0
1954-01-01,1223.0
1955-01-01,1318.0
1956-01-01,1478.0
1957-01-01,1597.0
1958-01-01,1587.0
1959-01-01,1633.0
1960-01-01,1660.0
1961-01-01,1705.0
1962-01-01,1800.0
1963-01-01,1893.0
1964-01-01,2019.0
1965-01-01,2171.0
1966-01-01,2318.0
1967-01-01,2465.0
1968-01-01,2622.0
1969-01-01,2832.0
1970-01-01,3156.0
1971-01-01,3418.0
1972-01-01,3729.0
1973-01-01,4062.0
1974-01-01,4481.0
1975-01-01,4991.0
1976-01-01,5455.0
1977-01-01,6012.0
1978-01-01,6641.0
1979-01-01,7335.0
1980-01-01,8011.0
1981-01-01,8726.0
1982-01-01,9268.0
1983-01-01,9537.0
1984-01-01,10344.0
1985-01-01,10890.0
1986-01-01,11295.0
1987-01-01,11728.0
1988-01-01,12697.0
1989-01-01,13618.0
1990-01-01,14608.0
1991-01-01,15182.0
1992-01-01,16277.0
1993-01-01,16780.0
1994-01-01,17480.0
1995-01-01,18037.0
1996-01-01,18767.0
1997-01-01,19587.0
1998-01-01,20453.0
1999-01-01,21057.0
2000-01-01,22331.0
2001-01-01,23749.0
2002-01-01,24504.0
2003-01-01,24759
2004-01-01,25587.0
2005-01-01,26839.0
2006-01-01,28554.0
2007-01-01,29513.0
2008-01-01,31258.0
2009-01-01,31361.0
2010-01-01,32319.0
2011-01-01,34127.0
2012-01-01,35116.0
2013-01-01,34945.0
2014-01-01,36152.0
2015-01-01,36914.0
2016-01-01,36929.0
2017-01-01,38645.0
2018-01-01,40907.0
2019-01-01,42336.0
