DATE,WYPCPI
1929-01-01,672
1930-01-01,582
1931-01-01,477
1932-01-01,375
1933-01-01,372
1934-01-01,414
1935-01-01,498
1936-01-01,552
1937-01-01,606
1938-01-01,560
1939-01-01,586
1940-01-01,602
1941-01-01,793
1942-01-01,974
1943-01-01,1171
1944-01-01,1243
1945-01-01,1274
1946-01-01,1365
1947-01-01,1511
1948-01-01,1635
1949-01-01,1702
1950-01-01,1792.0
1951-01-01,2023.0
1952-01-01,1986.0
1953-01-01,2005.0
1954-01-01,1935.0
1955-01-01,2006.0
1956-01-01,2115.0
1957-01-01,2234.0
1958-01-01,2257.0
1959-01-01,2352.0
1960-01-01,2382.0
1961-01-01,2461.0
1962-01-01,2580.0
1963-01-01,2616.0
1964-01-01,2673.0
1965-01-01,2818.0
1966-01-01,2967.0
1967-01-01,3184.0
1968-01-01,3375.0
1969-01-01,3704.0
1970-01-01,4038.0
1971-01-01,4404.0
1972-01-01,4856.0
1973-01-01,5571.0
1974-01-01,6317.0
1975-01-01,6853.0
1976-01-01,7309.0
1977-01-01,8203.0
1978-01-01,9361.0
1979-01-01,10437.0
1980-01-01,11612.0
1981-01-01,12812.0
1982-01-01,13066.0
1983-01-01,12870.0
1984-01-01,13581.0
1985-01-01,14330.0
1986-01-01,14387.0
1987-01-01,14392.0
1988-01-01,15056.0
1989-01-01,16673.0
1990-01-01,18147.0
1991-01-01,18818.0
1992-01-01,19583.0
1993-01-01,20419.0
1994-01-01,21034.0
1995-01-01,21818.0
1996-01-01,22693.0
1997-01-01,24282.0
1998-01-01,25741.0
1999-01-01,27488.0
2000-01-01,29519.0
2001-01-01,31161.0
2002-01-01,31546.0
2003-01-01,33195.0
2004-01-01,35120.0
2005-01-01,38240.0
2006-01-01,43567.0
2007-01-01,45363.0
2008-01-01,48593.0
2009-01-01,43738.0
2010-01-01,45714.0
2011-01-01,49985.0
2012-01-01,53524.0
2013-01-01,52892.0
2014-01-01,56710.0
2015-01-01,57107.0
2016-01-01,54617.0
2017-01-01,56377.0
2018-01-01,60375.0
2019-01-01,63316.0
